Area,Measurement,Environment,Proposed target,Measured baseline,Acceptance threshold,Blocking regression threshold,Decision status
Dashboard initial payload,Bundle/network size,Local and staging,Configurable target,Required before enforcement,TBD from baseline,TBD from baseline,Approved measurement gate
Experience-list query latency,p50/p95,Local staging load-test,Configurable target,Required before enforcement,TBD,TBD,Approved measurement gate
Trigger-list query latency,p50/p95 at 30/100/1000 triggers,Local staging load-test,Configurable target,Required before enforcement,TBD,TBD,Approved measurement gate
Upload response time,HTTP timing,Local and staging,Configurable target,Required before enforcement,TBD,TBD,Approved measurement gate
Status-update latency,Polling/event latency,Local and staging,Configurable target,Required before enforcement,TBD,TBD,Approved measurement gate
Scanner dependency load,OpenCV/WASM/network timing,Mid Android iPhone staging,Configurable target,Required before enforcement,TBD,TBD,Approved measurement gate
Camera-ready time,Runtime timing,Mid Android iPhone staging,Configurable target,Required before enforcement,TBD,TBD,Approved measurement gate
First-recognition time,p50/p95,Mid Android iPhone staging,Configurable target,Required before enforcement,TBD,TBD,Approved measurement gate
Tracking FPS,FPS sample,Mid Android iPhone,Configurable target,Required before enforcement,TBD,TBD,Approved measurement gate
Detection latency,p50/p95,Staging load-test,Configurable target,Required before enforcement,TBD,TBD,Approved measurement gate
Queue age,Worker metric,Staging load-test,Configurable target,Required after queue exists,TBD,TBD,Approved measurement gate
Fallback load,Runtime timing,Device and staging,Configurable target,Required before enforcement,TBD,TBD,Approved measurement gate
