Risk,Cause,Probability,Impact,Severity,Affected Flow,Early Warning,Mitigation,Rollback,Gate,Owner
Git baseline corruption,Manual git misuse,Low,High,High,All,Unexpected git diff,No rewrite/commit policy,Restore from baseline,A,Release manager
Accidental online push,Remote added,Low,High,High,Repo,git remote non-empty,No remote rule,Remove remote before push,A,Release manager
Existing QR breakage,Route/key replacement,Medium,High,Critical,Viewer,Old QR 404,Preserve legacy route,Legacy scanner route,H,Architecture
Existing URL breakage,Renamed routes,Medium,High,High,Viewer/Admin,404s in smoke tests,Route aliases,Restore old routes,H,Architecture
Scanner contract breakage,Changed JSON fields,Medium,High,Critical,Viewer,JS parse errors,Versioned contract,Legacy endpoints,I,Architecture
Migration data loss,Destructive migration,Medium,High,Critical,Data,Backfill mismatch,Additive migration copy test,DB restore,C,DB owner
Password-hash regression,User table rewrite,Low,High,High,Auth,Login failures,Do not modify hashes,Restore user table,C,Security
Subscription regression,Billing ownership change,Medium,High,High,Billing,Active users blocked,Legacy wrapper,Revert billing flag,L,Billing
Razorpay regression,Payment flow change,Medium,High,High,Billing,Signature/order failures,Payment tests,Legacy payment path,L,Billing
Trial regression,Trial mapping unclear,Medium,Medium,High,Signup,Trial users blocked,Trial fixture tests,Legacy trial fields,L,Billing
Admin/user ownership confusion,Dual owner fields,Medium,High,High,Admin/upload,Admin project inaccessible,Ownership tests,Legacy owner lookup,C,Architecture
Media-path breakage,Storage abstraction,Medium,High,High,Viewer,Images/videos 404,Path compatibility layer,Local storage driver,F,Architecture
.npz incompatibility,Artifact version change,Medium,High,High,Recognition,Detection fails,Versioned artifacts,Legacy loader,J,CV
Feature-cache mismatch,Cache not invalidated,Medium,Medium,Medium,Recognition,Wrong match/stale result,Artifact version cache key,Clear cache,J,CV
Scanner startup failure,OpenCV/WASM/network,High,High,High,Viewer,Load timeout,Timeout/retry/fallback,Static legacy scanner,I,Frontend
Weak-mobile failure,Heavy scanner assets,High,High,High,Viewer,Low FPS/crashes,Device modes and budgets,Lightweight fallback,I,Frontend
Endless loading,Missing timeout states,Medium,High,High,Viewer,Long sessions no events,Failure state matrix,Fallback route,I,Frontend
False recognition,Weak thresholds/similar markers,Medium,High,High,Viewer,Wrong video plays,Quality/similarity tests,Raise threshold,J,CV
Slow large-trigger Experiences,Sequential matching,High,High,High,Creator/Viewer,Latency grows with triggers,Candidate shortlist,Plan cap,K,CV
Slow creator dashboard,Large lists/no pagination,High,Medium,High,Creator,Long render,Pagination/virtualization,Feature flag,K,Frontend
Queue failure,Worker/queue outage,Medium,High,High,Processing,Queue age grows,Durable retries,Pause processing,E,DevOps
Duplicate processing,Non-idempotent jobs,Medium,Medium,Medium,Processing,Duplicate artifacts,Idempotency keys,Job cleanup,E,Backend
Processing jobs stuck,No durable state,Medium,High,High,Processing,No progress,Job watchdog/retry,Manual retry,E,Backend
Storage migration failure,Local to object mismatch,Medium,High,High,Media,Missing assets,Two-driver tests,Local fallback,F,DevOps
Fallback missing,Publish without fallback,Medium,High,High,Viewer,Unsupported dead-end,Publish gate,Unpublish version,H,Product
Incorrect usage billing,Views vs attempts confusion,Medium,High,High,Billing,Unexpected limits,Separate usage records,Recompute usage,L,Billing
Tenant isolation failure,Workspace authz gaps,Medium,High,Critical,Security,Cross-workspace access,Authz middleware/tests,Disable workspace features,N,Security
Security regression,Auth/upload/session gaps,Medium,High,Critical,All,Security test failures,Security gate,Rollback feature flag,N,Security
Local dev mismatch,Hidden prod config,Medium,Medium,Medium,DevOps,Works local fails staging,Config inventory,Local config restore,O,DevOps
Lack of production access,No metrics/config,High,Medium,Medium,Planning,Unknown SLOs,Staging metrics first,Defer prod,O,DevOps
Undocumented production configuration,No deployment docs,High,Medium,Medium,DevOps,Deploy uncertainty,Document before AWS,Stop deploy,O,DevOps
