Gap,Area,Severity,Evidence,Required Action,Implementation Blocker
Workspace billing ownership,Billing,High,"Spec targets Workspace; code bills User","Define BillingAccount and legacy User wrapper",Yes
Scanner contract versioning,Scanner,High,"Current /detect_init and /detect_track unversioned","Define legacy and v1 contracts",Yes
Legacy QR preservation,QR,High,"Current QR points to /scanner/<project_id>","Add explicit compatibility rule",Yes
Migration rollback,Migration,High,"Spec maps models but lacks rollback plan","Add additive/dual-read/rollback plan",Yes
Tenant authorization,Security,Critical,"No Workspace model in code","Define workspace authz gates",Yes
Private Experiences,Security,High,"Open decision only","Choose Release 1 policy",Yes
Large trigger UX,Creator,Medium,"No pagination/virtualization rules","Add scale rules",No
Overage and grace,Billing,High,"Plan behavior placeholders","Define policy",Yes
Measurable acceptance,Testing,Medium,"Acceptance bullets broad","Convert to testable criteria",Yes
Untracked readiness output,Repository,High,"git status shows ?? release-1-readiness-review/","Intentionally handle documentation output before implementation",Yes
