step,result,notes
html_response,passed,pytest public route checks passed
scanner_shell_visible,passed_with_limitations,desktop headless probe loaded runtime shell
capability_check_complete,passed,Chrome and Edge probes selected full mode
permission_prompt_shown,not_executed,headless fake media timed out
camera_ready,not_executed,no physical camera certification
opencv_ready,passed_with_limitations,runtime load path available; physical timing not measured
wasm_ready,passed_with_limitations,capability probe reported full mode
scanner_ready,passed_with_limitations,state path reached requesting_camera
first_recognition,not_executed,physical marker not tested
first_video_frame,not_executed,real playback not tested

