Feature,Release 1 Status,Primary Module,Entitlement Gate,Decision status,Notes
Image-triggered video Experiences,Included,Experiences,Plan active,Approved Release 1 rule,Core product
Workspace required,Included,Workspaces,Plan active,Approved Release 1 rule,Default personal Workspace for every account
Organization optional,Foundation,Workspaces,Enterprise policy,Approved Release 1 rule,No enterprise complexity for simple creators
Multiple triggers per Experience,Included,Triggers,max_triggers_per_experience,Approved Release 1 rule,Plan-limited
Legacy Project/ProjectPair compatibility,Included,Migration,None,Approved Release 1 rule,No destructive first migration
Legacy QR preservation,Included,Publishing,None,Approved Release 1 rule,Existing QR keeps working
Versioned scanner API,Included,Scanner,None,Approved Release 1 rule,Legacy API remains
Workspace billing,Included,Billing,Plan active,Approved Release 1 rule,Legacy User subscription wrapper during migration
Async durable processing,Included,Media Processing,media_processing_minutes,Approved Release 1 rule,No heavy request processing target
Marker quality gates,Included,Computer Vision,Plan active,Approved Release 1 rule,Thresholds configurable after calibration
Fallback Experiences,Included,Public Viewer,Plan active,Approved Release 1 rule,Required for publish
Creator scalability tiers,Included,Creator UX,Plan limits,Approved Release 1 rule,1-30 normal 31-100 virtualized 101-1000 bulk-ready
Private Experiences,Foundation,Security,Plan policy,Recommended default,Public-first unless leadership requires private in R1
Bulk upload UI,Deferred,Creator UX,bulk_upload,Deferred,Data/API must not block future
Future 3D/WebXR/Object recognition,Excluded,Add-ons,future flags,Deferred,Must not load in core scanner
