Criterion,Current Spec Status,Measurable,Correction Needed
Auth and workspace flows work,Partial,Partly,Define workspace authz tests
Entitlements are enforced,Partial,Partly,Define entitlement keys and enforcement points
Image/video trigger creation works,Good,Yes,Keep legacy upload compatibility tests
Processing jobs are durable,Partial,Yes,Define queue/job acceptance
Marker quality is reported,Partial,Yes,Define scoring thresholds
Preview/testing before publish,Partial,Yes,Define publish blockers
Stable QR/link points to immutable version,Good,Yes,Add legacy QR compatibility
Public scanner supports device modes,Partial,Yes,Define mode detection tests
Video overlay works,Good concept,Yes,Define device matrix
Fallback works,Partial,Yes,Define fallback required states
Analytics and usage recorded,Partial,Yes,Separate views/attempts/events
Admin/support diagnose failures,Partial,Partly,Define support-safe data
Security/upload validation pass,Partial,Yes,Define controls
Performance budgets measured,Partial,Yes,Add exact targets
Existing projects compatible,Partial,Yes,Add legacy route/artifact tests
