Gate,Objective,Prerequisites,Likely Files Modules,Tests,Performance Checks,Compatibility Checks,Rollback,Parallel
A,Repository and regression protection,Clean baseline,"tests, fixtures, CI/local scripts","Auth upload QR scanner payment admin smoke","Baseline timings","Existing QR scanner upload payment","No source behavior change","No"
B,Test config and fixtures,Gate A,"tests, sample media, config","DB copy fixtures scanner fixture","Repeatable local runs","Legacy model fixtures","Remove fixtures only","Limited"
C,Compatibility data model,Gates A-B,"models,migrations","Migration dry run rollback","DB query baseline","Legacy IDs and routes","Additive rollback","No"
D,Workspace and Experience foundations,Gate C,"models,services,routes","Ownership authz tests","Dashboard query checks","User Project access preserved","Feature flag disable","Partial"
E,Durable processing jobs,Gate C,"processing,workers","Retry/idempotency tests","Queue delay/job duration","Existing upload still works","Fallback to legacy thread during flag","Partial"
F,Storage abstraction,Gate C,"assets,media routes","Read/write/delete tests","Media serving latency","Existing paths and URLs","Local driver fallback","Partial"
G,Trigger validation and quality,Gates E-F,"upload,vision","Validation/quality tests","Processing duration","Existing ProjectPair upload","Disable quality gate","Partial"
H,Publishing and permanent QR,Gates C-F,"publishing,qr,routes","Publish rollback tests","QR generation time","Old QR route preserved","Pointer rollback","No"
I,Scanner startup and mobile stabilization,Gates A,H,"scanner template,static js","Device/failure tests","Startup/OpenCV/camera","Legacy contract preserved","Legacy scanner route","No"
J,Recognition robustness,Gates G,I,"vision,detect routes","Robustness matrix","Detection latency/FPS","Old .npz compatibility","Algorithm version rollback","Partial"
K,Creator Experience UX,Gates D-G,"dashboard,templates","List/batch tests","1-1000 trigger rendering","Old project views","Feature flag","Partial"
L,Billing and entitlements,Gates C,D,H,"billing,payment,models","Razorpay trial entitlement tests","Billing endpoint latency","Current subscriptions preserved","Legacy billing wrapper","No"
M,Analytics and observability,Gates H-I-L,"analytics,events","Event schema tests","Ingestion nonblocking","ScanLog reports preserved","Disable event sink","Partial"
N,Security hardening,Gates C-L,"auth,uploads,routes","CSRF/rate/authz/upload tests","Auth overhead","Public scanner still opens","Config rollback","No"
O,AWS staging readiness,Gates A-N,"deploy,storage,queue,monitoring","Staging smoke","Load/device tests","No prod breakage","Tear down staging","No"
